1384031182.64 ['  File "uppir_vendor.py", line 409, in <module>\n    main()\n', '  File "uppir_vendor.py", line 375, in main\n    rawmanifestdata = open(_commandlineoptions.manifestfilename).read()\n']
1384031223.38 ready to start servers!
1384031223.39 servers started!
1384035079.11 UPPIRVendor 127.0.0.1 52064 mirrorinfo update 34
1384035133.61 UPPIRVendor 127.0.0.1 52066 mirrorinfo update 34
1384035136.4 UPPIRVendor 127.0.0.1 52067 mirrorinfo update 34
1384035139.11 UPPIRVendor 127.0.0.1 52068 mirrorinfo update 34
1384035193.61 UPPIRVendor 127.0.0.1 52070 mirrorinfo update 34
1384035196.4 UPPIRVendor 127.0.0.1 52071 mirrorinfo update 34
1384035199.12 UPPIRVendor 127.0.0.1 52072 mirrorinfo update 34
1384035253.61 UPPIRVendor 127.0.0.1 52073 mirrorinfo update 34
1384035256.41 UPPIRVendor 127.0.0.1 52074 mirrorinfo update 34
1384035259.12 UPPIRVendor 127.0.0.1 52075 mirrorinfo update 34
1384035313.62 UPPIRVendor 127.0.0.1 52076 mirrorinfo update 34
1384035316.43 UPPIRVendor 127.0.0.1 52077 mirrorinfo update 34
1384035319.12 UPPIRVendor 127.0.0.1 52078 mirrorinfo update 34
1384035373.62 UPPIRVendor 127.0.0.1 52079 mirrorinfo update 34
1384035376.43 UPPIRVendor 127.0.0.1 52080 mirrorinfo update 34
1384035379.12 UPPIRVendor 127.0.0.1 52081 mirrorinfo update 34
1384035433.62 UPPIRVendor 127.0.0.1 52082 mirrorinfo update 34
1384035436.43 UPPIRVendor 127.0.0.1 52083 mirrorinfo update 34
1384035439.13 UPPIRVendor 127.0.0.1 52084 mirrorinfo update 34
1384035493.62 UPPIRVendor 127.0.0.1 52085 mirrorinfo update 34
1384035496.43 UPPIRVendor 127.0.0.1 52086 mirrorinfo update 34
1384035499.13 UPPIRVendor 127.0.0.1 52087 mirrorinfo update 34
1384035553.63 UPPIRVendor 127.0.0.1 52088 mirrorinfo update 34
1384035556.44 UPPIRVendor 127.0.0.1 52089 mirrorinfo update 34
1384035559.13 UPPIRVendor 127.0.0.1 52090 mirrorinfo update 34
1384035613.63 UPPIRVendor 127.0.0.1 52091 mirrorinfo update 34
1384035616.44 UPPIRVendor 127.0.0.1 52092 mirrorinfo update 34
1384035619.14 UPPIRVendor 127.0.0.1 52093 mirrorinfo update 34
1384035673.63 UPPIRVendor 127.0.0.1 52094 mirrorinfo update 34
1384035676.44 UPPIRVendor 127.0.0.1 52095 mirrorinfo update 34
1384035679.14 UPPIRVendor 127.0.0.1 52096 mirrorinfo update 34
1384035733.63 UPPIRVendor 127.0.0.1 52097 mirrorinfo update 34
1384035736.45 UPPIRVendor 127.0.0.1 52098 mirrorinfo update 34
1384035739.14 UPPIRVendor 127.0.0.1 52099 mirrorinfo update 34
1384035793.64 UPPIRVendor 127.0.0.1 52101 mirrorinfo update 34
1384035796.45 UPPIRVendor 127.0.0.1 52102 mirrorinfo update 34
1384035799.15 UPPIRVendor 127.0.0.1 52103 mirrorinfo update 34
